Industria,Categoria,Subcategoria,Marca,Slug,Dominio
Retail,Alimentación,Supermercados,Jumbo,jumbo,https://www.jumbo.cl
Retail,Alimentación,Supermercados,Líder,lider,https://www.lider.cl
Retail,Alimentación,Supermercados,Tottus,tottus,https://www.tottus.cl
Retail,Alimentación,Supermercados,Unimarc,unimarc,https://www.unimarc.cl
Retail,Alimentación,Supermercados,Santa Isabel,santa-isabel,https://www.santaisabel.cl
Retail,Alimentación,Supermercados,Alvi,alvi,https://www.alvi.cl
Retail,Alimentación,Supermercados,aCuenta,acuenta,https://www.acuenta.cl
Retail,Alimentación,Supermercados,Mayorista 10,mayorista-10,https://www.mayorista10.cl
Retail,Alimentación,Supermercados,OK Market,ok-market,https://www.okmarket.cl
Retail,Alimentación,Supermercados,Montserrat,montserrat,https://www.supermercadosmontserrat.cl
Retail,Alimentación,Minimarkets,Oxxo,oxxo,https://www.oxxo.cl
Retail,Alimentación,Minimarkets,Spid,spid,https://www.spid.cl
Retail,Alimentación,Minimarkets,Upa,upa,https://www.upa.cl
Retail,Alimentación,Minimarkets,Big John,big-john,https://www.bigjohn.cl
Retail,Alimentación,Minimarkets,Pronto Copec,pronto-copec,https://www.pronto.cl
Comida y restaurantes,Restaurantes,Fast food,McDonald's,mcdonalds,https://www.mcdonalds.cl
Comida y restaurantes,Restaurantes,Fast food,Burger King,burger-king,https://www.burgerking.cl
Comida y restaurantes,Restaurantes,Fast food,KFC,kfc,https://www.kfc.cl
Comida y restaurantes,Restaurantes,Fast food,Wendy's,wendys,https://www.wendys.com
Comida y restaurantes,Restaurantes,Fast food,Subway,subway,https://www.subway.com
Comida y restaurantes,Restaurantes,Fast food,Popeyes,popeyes,https://www.popeyes.com
Comida y restaurantes,Restaurantes,Fast food,Little Caesars,little-caesars,https://www.littlecaesars.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Just Burger,just-burger,https://www.justburger.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Streat Burger,streat-burger,https://www.streatburger.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Honesto Mike,honesto-mike,https://www.honestomike.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Burger Street,burger-street,https://www.burgerstreet.cl
Comida y restaurantes,Restaurantes,Hamburgueserías,Carnal,carnal,https://www.carnal.cl
Comida y restaurantes,Pizza,Pizzerías,Papa Johns,papa-johns,https://www.papajohns.cl
Comida y restaurantes,Pizza,Pizzerías,Domino's,dominos,https://www.dominos.cl
Comida y restaurantes,Pizza,Pizzerías,Telepizza,telepizza,https://www.telepizza.cl
Comida y restaurantes,Pizza,Pizzerías,Melt Pizzas,melt-pizzas,https://www.meltpizzas.com
Comida y restaurantes,Pizza,Pizzerías,Pizza Hut,pizza-hut,https://www.pizzahut.cl
Comida y restaurantes,Café,Cafeterías,Starbucks,starbucks,https://www.starbucks.cl
Comida y restaurantes,Café,Cafeterías,Café Haiti,cafe-haiti,https://www.cafehaiti.cl
Comida y restaurantes,Café,Cafeterías,Juan Valdez,juan-valdez,https://www.juanvaldezcafe.com
Comida y restaurantes,Café,Cafeterías,Castaño,castano,https://www.castano.cl
Comida y restaurantes,Café,Cafeterías,Dunkin,dunkin,https://www.dunkin.cl
Comida y restaurantes,Café,Cafeterías,Tavelli,tavelli,https://www.tavelli.cl
Comida y restaurantes,Helados,Heladerías,Savory,savory,https://www.savory.cl
Comida y restaurantes,Helados,Heladerías,Bravissimo,bravissimo,https://www.bravissimo.cl
Comida y restaurantes,Helados,Heladerías,Emporio La Rosa,emporio-la-rosa,https://www.emporiolarosa.cl
Comida y restaurantes,Helados,Heladerías,Häagen-Dazs,haagen-dazs,https://www.haagendazs.com
Comida y restaurantes,Helados,Heladerías,Bresler,bresler,https://www.bresler.cl
Comida y restaurantes,Delivery,Apps de delivery,PedidosYa,pedidos-ya,https://www.pedidosya.cl
Comida y restaurantes,Delivery,Apps de delivery,Rappi,rappi,https://www.rappi.com
Comida y restaurantes,Delivery,Apps de delivery,Uber Eats,uber-eats,https://www.ubereats.com
Comida y restaurantes,Delivery,Apps de delivery,Didi Food,didi-food,https://www.didi-food.com
Comida y restaurantes,Delivery,Apps de delivery,Justo,justo,https://www.justo.cl
