Industria,Categoria,Subcategoria,Marca,Slug,Dominio
Deportes,Fútbol,Clubes de fútbol,Colo-Colo,colo-colo,https://www.colocolo.cl
Deportes,Fútbol,Clubes de fútbol,Universidad de Chile,universidad-de-chile-futbol,https://www.udechile.cl
Deportes,Fútbol,Clubes de fútbol,Universidad Católica,universidad-catolica-futbol,https://www.lacatolica.cl
Deportes,Fútbol,Clubes de fútbol,Unión Española,union-espanola,https://www.unionespanola.cl
Deportes,Fútbol,Clubes de fútbol,Cobreloa,cobreloa,https://www.cobreloa.cl
Deportes,Fútbol,Clubes de fútbol,Santiago Wanderers,santiago-wanderers,https://www.santiagowanderers.cl
Deportes,Fútbol,Clubes de fútbol,Palestino,palestino,https://www.palestino.cl
Deportes,Fútbol,Clubes de fútbol,Audax Italiano,audax-italiano,https://www.audaxitaliano.cl
Deportes,Fútbol,Clubes de fútbol,Huachipato,huachipato,https://www.cdhuachipato.cl
Deportes,Fútbol,Clubes de fútbol,O'Higgins,ohiggins,https://www.ohigginsfc.cl
Deportes,Fútbol,Clubes de fútbol,Everton,everton,https://www.everton.cl
Deportes,Fútbol,Clubes de fútbol,Ñublense,nublense,https://www.nublense.cl
Deportes,Fútbol,Clubes de fútbol,Coquimbo Unido,coquimbo-unido,https://www.coquimbounido.cl
Deportes,Fútbol,Clubes de fútbol,Deportes Iquique,deportes-iquique,https://www.clubdeportesiquique.cl
Deportes,Fútbol,Clubes de fútbol,Unión La Calera,union-la-calera,https://www.ulc.cl
Deportes,Fútbol,Clubes de fútbol,Cobresal,cobresal,https://www.cdcobresal.cl

Deportes,Gimnasios,Gimnasios,Smart Fit,smart-fit,https://www.smartfit.cl
Deportes,Gimnasios,Gimnasios,Energy,energy-fitness,https://www.energy.cl
Deportes,Gimnasios,Gimnasios,Pacific Fitness,pacific-fitness,https://www.pacificfitness.cl
Deportes,Gimnasios,Gimnasios,Sportlife,sportlife,https://www.sportlife.cl
Deportes,Gimnasios,Gimnasios,B-Day Fitness,b-day-fitness,https://www.b-day.cl
Deportes,Gimnasios,Gimnasios,Youtopia,youtopia,https://www.youtopia.cl
Deportes,Gimnasios,Gimnasios,OrangeTheory,orangetheory,https://www.orangetheory.com
Deportes,Gimnasios,Gimnasios,F45,f45,https://f45training.com
Deportes,Gimnasios,Gimnasios,CrossFit,crossfit,https://www.crossfit.com
Deportes,Gimnasios,Gimnasios,Bodytech,bodytech,https://www.bodytech.cl

Deportes,Fitness digital,Apps fitness,Strava,strava,https://www.strava.com
Deportes,Fitness digital,Apps fitness,Nike Run Club,nike-run-club,https://www.nike.com
Deportes,Fitness digital,Apps fitness,Adidas Running,adidas-running,https://www.adidas.com
Deportes,Fitness digital,Apps fitness,Garmin Connect,garmin-connect,https://connect.garmin.com
Deportes,Fitness digital,Apps fitness,Fitbit App,fitbit-app,https://www.fitbit.com
Deportes,Fitness digital,Apps fitness,Freeletics,freeletics,https://www.freeletics.com
Deportes,Fitness digital,Apps fitness,MyFitnessPal,myfitnesspal,https://www.myfitnesspal.com
Deportes,Fitness digital,Apps fitness,Seven,seven-app,https://seven.app
Deportes,Fitness digital,Apps fitness,Centr,centr,https://centr.com
Deportes,Fitness digital,Apps fitness,Asana Rebel,asana-rebel,https://www.asanarebel.com

Medios,Información,TV abierta,Canal 13,canal-13,https://www.13.cl
Medios,Información,TV abierta,Chilevisión,chilevision,https://www.chilevision.cl
Medios,Información,TV abierta,Mega,mega,https://www.mega.cl
Medios,Información,TV abierta,TVN,tvn,https://www.tvn.cl
Medios,Información,TV abierta,TV+,tv-plus,https://www.tvmas.tv
Medios,Información,TV abierta,La Red,la-red,https://www.lared.cl

Entretenimiento,Cine,Cines,Cine Hoyts Premium,cine-hoyts-premium,https://www.cinehoyts.cl
Entretenimiento,Cine,Cines,Cinemark XD,cinemark-xd,https://www.cinemark.cl
Entretenimiento,Cine,Cines,Cineplanet Prime,cineplanet-prime,https://www.cineplanet.cl
Entretenimiento,Cine,Cines,Cinépolis VIP,cinepolis-vip,https://www.cinepolis.cl

Comida y restaurantes,Restaurantes,Fast food,Juan Maestro,juan-maestro,https://www.juanmaestro.cl
Comida y restaurantes,Restaurantes,Fast food,Doggis,doggis,https://www.doggis.cl
Comida y restaurantes,Restaurantes,Fast food,Pedro Juan y Diego,pedro-juan-y-diego,https://www.pyd.cl
Comida y restaurantes,Restaurantes,Fast food,Tarragona,tarragona,https://www.tarragona.cl
