Industria,Categoria,Subcategoria,Marca,Slug,Dominio
Finanzas,Banca,Bancos,Banco de Chile,banco-de-chile,https://www.bancochile.cl
Finanzas,Banca,Bancos,BancoEstado,bancoestado,https://www.bancoestado.cl
Finanzas,Banca,Bancos,Santander,santander,https://www.santander.cl
Finanzas,Banca,Bancos,BCI,bci,https://www.bci.cl
Finanzas,Banca,Bancos,Banco BICE,banco-bice,https://www.bice.cl
Finanzas,Banca,Bancos,Banco Falabella,banco-falabella,https://www.bancofalabella.cl
Finanzas,Banca,Bancos,Scotiabank,scotiabank,https://www.scotiabankchile.cl
Finanzas,Banca,Bancos,Itaú,itau,https://www.itau.cl
Finanzas,Banca,Bancos,Banco Security,banco-security,https://www.security.cl
Finanzas,Banca,Bancos,Consorcio,consorcio-banco,https://www.consorcio.cl
Finanzas,Banca,Bancos,Banco Ripley,banco-ripley,https://www.bancoripley.cl
Finanzas,Banca,Bancos,BTG Pactual Chile,btg-pactual-chile,https://www.btgpactual.cl
Finanzas,Banca,Bancos,Banco Internacional,banco-internacional,https://www.bancointernacional.cl
Finanzas,Banca,Bancos,Banco Edwards,banco-edwards,https://www.bancoedwards.cl
Finanzas,Banca,Bancos,JP Morgan Chile,jp-morgan-chile,https://www.jpmorgan.com
Finanzas,Banca,Bancos,HSBC Chile,hsbc-chile,https://www.hsbc.com
Finanzas,Banca,Bancos digitales,MACH,mach,https://www.somosmach.com
Finanzas,Banca,Bancos digitales,Tenpo,tenpo,https://www.tenpo.cl
Finanzas,Banca,Bancos digitales,Chek,chek,https://simple.ripley.cl
Finanzas,Banca,Bancos digitales,Prex,prex,https://www.prexcard.cl
Finanzas,Banca,Bancos digitales,Tapp,tapp,https://www.tapp.cl
Finanzas,Banca,Bancos digitales,Global66,global66,https://www.global66.com
Finanzas,Banca,Bancos digitales,Mercado Pago,mercado-pago,https://www.mercadopago.cl
Finanzas,Banca,Bancos digitales,Fintual Cuenta,fintual-cuenta,https://www.fintual.cl
Finanzas,Banca,Bancos digitales,Wise,wise,https://wise.com
Finanzas,Banca,Bancos digitales,PayPal,paypal,https://www.paypal.com
Finanzas,Fintech,Billeteras digitales,Mercado Pago Wallet,mercado-pago-wallet,https://www.mercadopago.cl
Finanzas,Fintech,Billeteras digitales,MACH Wallet,mach-wallet,https://www.somosmach.com
Finanzas,Fintech,Billeteras digitales,Tenpo Wallet,tenpo-wallet,https://www.tenpo.cl
Finanzas,Fintech,Billeteras digitales,Apple Pay,apple-pay,https://www.apple.com
Finanzas,Fintech,Billeteras digitales,Google Pay,google-pay,https://pay.google.com
Finanzas,Fintech,Billeteras digitales,Samsung Wallet,samsung-wallet,https://www.samsung.com
Finanzas,Fintech,Billeteras digitales,PayPal Wallet,paypal-wallet,https://www.paypal.com
Finanzas,Fintech,Billeteras digitales,Onepay,onepay,https://www.onepay.cl
Finanzas,Fintech,Billeteras digitales,Fpay,fpay,https://www.fpay.cl
Finanzas,Fintech,Transferencias internacionales,Global66 Transfer,global66-transfer,https://www.global66.com
Finanzas,Fintech,Transferencias internacionales,Wise Transfer,wise-transfer,https://wise.com
Finanzas,Fintech,Transferencias internacionales,Western Union,western-union,https://www.westernunion.com
Finanzas,Fintech,Transferencias internacionales,MoneyGram,moneygram,https://www.moneygram.com
Finanzas,Fintech,Transferencias internacionales,Ria Money Transfer,ria-money-transfer,https://www.riamoneytransfer.com
Finanzas,Fintech,Transferencias internacionales,Xoom,xoom,https://www.xoom.com
Finanzas,Fintech,Transferencias internacionales,Remitly,remitly,https://www.remitly.com
Finanzas,Fintech,Transferencias internacionales,WorldRemit,worldremit,https://www.worldremit.com
Finanzas,Fintech,Plataformas de pago,Webpay,webpay,https://www.webpay.cl
Finanzas,Fintech,Plataformas de pago,Getnet,getnet,https://www.getnet.cl
Finanzas,Fintech,Plataformas de pago,Flow,flow,https://www.flow.cl
Finanzas,Fintech,Plataformas de pago,Khipu,khipu,https://www.khipu.com
Finanzas,Fintech,Plataformas de pago,Mercado Pago Checkout,mercado-pago-checkout,https://www.mercadopago.cl
Finanzas,Fintech,Plataformas de pago,PayPal Checkout,paypal-checkout,https://www.paypal.com
Finanzas,Fintech,Plataformas de pago,Stripe,stripe,https://stripe.com
Finanzas,Fintech,Plataformas de pago,Square,square,https://squareup.com
